visType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,correct,firstX,lastX,x0,x1,x2
bar,trend,3,0,1,0.25,571b99e55d40840011c3de5f,3,1,16380,Thu Mar 14 2019 10:29:12 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.716666667,0.55,0.627837065,0.716666667
bar,trend,3,0,-1,0.25,571b99e55d40840011c3de5f,4,1,13003,Thu Mar 14 2019 10:29:26 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.929024943,0.833333333
brokenbar,trend,3,0,-1,0.125,571b99e55d40840011c3de5f,5,1,10531,Thu Mar 14 2019 10:29:38 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.916666667,1,0.956949309,0.916666667
bar,trend,3,0,-1,0.125,571b99e55d40840011c3de5f,6,1,7729,Thu Mar 14 2019 10:29:47 GMT-0400 (Eastern Daylight Time),-1,2,1,1,0.916666667,1,0.953094073,0.916666667
brokenbar,trend,3,0.5,1,0.25,571b99e55d40840011c3de5f,7,1,13794,Thu Mar 14 2019 10:30:02 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.716666667,0.55,0.624746091,0.716666667
bottomgradbar,trend,3,0.5,1,0.25,571b99e55d40840011c3de5f,8,1,9911,Thu Mar 14 2019 10:30:13 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.716666667,0.55,0.65251607,0.716666667
brokenbar,trend,2,0.25,1,0.25,571b99e55d40840011c3de5f,9,,14920,Thu Mar 14 2019 10:30:30 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,2,0.25,1,0.25,571b99e55d40840011c3de5f,10,,10238,Thu Mar 14 2019 10:30:42 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,2,0.5,-1,0.125,571b99e55d40840011c3de5f,11,,13187,Thu Mar 14 2019 10:30:57 GMT-0400 (Eastern Daylight Time),-1,2,1,1,0.9375,1,0.9375,
brokenbar,trend,3,0,1,0.25,571b99e55d40840011c3de5f,12,,13579,Thu Mar 14 2019 10:31:13 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.716666667,0.55,0.627981218,0.716666667
brokenbar,trend,3,0.5,1,0.125,571b99e55d40840011c3de5f,13,,16846,Thu Mar 14 2019 10:31:31 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.633333333,0.55,0.597257844,0.633333333
bottomgradbar,trend,3,0.25,1,0.25,571b99e55d40840011c3de5f,14,,15626,Thu Mar 14 2019 10:31:48 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.716666667,0.55,0.64402415,0.716666667
